"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2008","93.66","97.25","102.37","75.75","1.10M","-4.69%"
"11/01/2008","98.27","136.15","141.26","96.74","522.07K","-25.87%"
"10/01/2008","132.56","144.34","147.41","93.15","3.36M","-7.50%"
"09/01/2008","143.31","204.73","217.53","133.08","945.14K","-30.52%"
"08/01/2008","206.27","198.59","213.43","195.52","177.18K","1.77%"
"07/01/2008","202.68","221.62","221.62","163.79","542.19K","-10.81%"
"06/01/2008","227.25","228.79","250.80","219.06","4.54M","0.00%"
"05/01/2008","227.25","292.77","301.47","218.04","3.29M","-22.51%"
"04/01/2008","293.28","286.62","293.28","278.43","1.97M","0.88%"
"03/01/2008","290.72","286.62","297.88","281.51","2.25M","0.71%"
"02/01/2008","288.67","294.81","296.86","278.43","613.03K","-2.08%"
"01/01/2008","294.81","280.48","298.91","262.57","6.13M","3.41%"
"12/01/2007","285.09","285.91","298.91","272.29","1.21M","-0.53%"
"11/01/2007","286.62","305.05","306.48","264.10","4.50M","-6.04%"
"10/01/2007","305.05","311.19","321.43","296.86","7.54M","-2.13%"
"09/01/2007","311.70","337.81","338.72","303.00","4.27M","-6.02%"
"08/01/2007","331.66","327.57","339.24","316.31","2.19M","-0.92%"
"07/01/2007","334.74","372.30","372.30","333.71","2.36M","-9.92%"
"06/01/2007","371.59","418.68","429.94","369.54","1.41M","-11.46%"
"05/01/2007","419.70","434.03","470.88","417.65","2.66M","-4.65%"
"04/01/2007","440.17","441.40","452.46","434.03","552.84K","0.00%"
"03/01/2007","440.17","448.61","456.55","440.17","1.28M","-1.15%"
"02/01/2007","445.29","463.68","466.79","440.17","310.31K","-3.33%"
"01/01/2007","460.65","460.34","464.74","450.41","5.34M","0.00%"
"12/01/2006","460.65","429.77","462.80","426.86","1.04M","6.64%"
"11/01/2006","431.98","411.51","431.98","411.51","9.73M","4.45%"
"10/01/2006","413.56","417.65","419.70","403.32","4.70M","-0.49%"
"09/01/2006","415.60","396.16","429.94","396.16","3.08M","4.91%"
"08/01/2006","396.16","400.25","400.25","394.11","1.38M","-1.02%"
"07/01/2006","400.25","383.87","400.25","383.87","768.27K","4.27%"
"06/01/2006","383.87","373.63","385.92","373.63","432.92K","2.46%"
"05/01/2006","374.66","426.86","426.86","374.66","2.65M","-12.23%"
"04/01/2006","426.86","429.94","429.94","424.82","1.31M","-0.72%"
"03/01/2006","429.94","439.15","440.17","429.94","1.84M","-2.10%"
"02/01/2006","439.15","435.05","441.20","426.86","1.98M","0.94%"
"01/01/2006","435.05","379.78","435.05","377.73","3.04M","15.17%"
"12/01/2005","377.73","386.94","393.08","376.71","1.65M","-2.38%"
"11/01/2005","386.94","398.20","404.34","386.94","257.34K","-2.83%"
"10/01/2005","398.20","393.08","398.20","382.85","360.35K","1.83%"
"09/01/2005","391.04","385.92","403.32","383.87","2.34M","1.33%"
"08/01/2005","385.92","414.58","414.58","385.92","169.30K","-6.91%"
"07/01/2005","414.58","410.49","416.63","408.44","212.70K","1.00%"
"06/01/2005","410.49","387.97","410.49","377.73","1.07M","5.80%"
"05/01/2005","387.97","383.87","394.11","383.87","217.19K","3.27%"
"04/01/2005","375.68","388.99","388.99","374.66","34.39K","-3.42%"
"03/01/2005","388.99","387.97","396.16","387.97","104.20K","0.26%"
"02/01/2005","387.97","368.52","390.01","367.49","290.67K","5.28%"
"01/01/2005","368.52","360.33","381.82","360.33","547.05K","3.75%"
"12/01/2004","355.21","337.81","367.49","337.81","995.39K","5.15%"
"11/01/2004","337.81","336.78","338.83","336.78","147.10K","0.31%"
"10/01/2004","336.78","336.78","338.83","334.74","7.56K","0.00%"
"09/01/2004","336.78","344.97","344.97","335.76","19.31K","-2.37%"
