"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2010","40.38","39.02","40.38","38.30","2.06K","2.28%"
"04/01/2010","39.48","38.43","40.75","38.40","2.26K","2.84%"
"03/01/2010","38.39","39.02","39.02","38.34","4.16K","-1.61%"
"02/01/2010","39.02","39.93","39.93","39.02","13.10K","-2.28%"
"01/01/2010","39.93","39.93","41.24","39.25","5.22K","-0.05%"
"12/01/2009","39.95","40.79","42.06","39.76","2.88K","-4.29%"
"11/01/2009","41.74","40.38","42.56","40.38","3.31K","3.37%"
"10/01/2009","40.38","40.38","42.56","39.25","4.26K","0.00%"
"09/01/2009","40.38","39.93","43.11","39.02","4.06K","3.49%"
"08/01/2009","39.02","36.75","39.02","36.66","2.20K","7.20%"
"07/01/2009","36.40","38.57","38.57","36.30","4.32K","-3.35%"
"06/01/2009","37.66","38.11","39.02","37.66","3.27K","-1.18%"
"05/01/2009","38.11","37.48","38.57","37.41","2.14K","-1.19%"
"04/01/2009","38.57","36.69","39.02","36.69","3.27K","5.99%"
"03/01/2009","36.39","39.48","39.48","35.39","4.33K","-5.65%"
"02/01/2009","38.57","42.83","43.94","38.57","7.61K","-7.59%"
"01/01/2009","41.74","42.42","44.28","41.29","3.21K","-5.74%"
"12/01/2008","44.28","42.65","46.10","41.75","11.31K","6.03%"
"11/01/2008","41.76","39.81","45.28","39.81","6.31K","4.58%"
"10/01/2008","39.93","46.19","46.28","35.58","20.27K","-13.55%"
"09/01/2008","46.19","46.28","47.19","45.92","8.19K","-0.19%"
"08/01/2008","46.28","46.28","46.73","46.28","2.84K","0.00%"
"07/01/2008","46.28","45.47","47.19","45.10","9.45K","1.78%"
"06/01/2008","45.47","46.28","47.19","45.47","3.53K","-1.75%"
"05/01/2008","46.28","45.37","48.10","45.37","9.24K","2.01%"
"04/01/2008","45.37","45.92","46.37","45.37","4.60K","-1.39%"
"03/01/2008","46.01","46.73","47.19","45.92","5.93K","-1.16%"
"02/01/2008","46.55","46.64","46.72","44.76","9.56K","1.57%"
"01/01/2008","45.83","44.77","46.74","44.76","9.69K","2.03%"
"12/01/2007","44.92","46.15","47.19","43.74","15.58K","-1.60%"
"11/01/2007","45.65","48.87","48.87","45.38","25.67K","-7.10%"
"10/01/2007","49.14","47.64","49.19","47.64","5.56K","2.16%"
"09/01/2007","48.10","49.46","49.91","48.10","4.83K","-1.84%"
"08/01/2007","49.00","50.64","51.56","49.00","11.90K","-3.24%"
"07/01/2007","50.64","50.82","51.73","50.64","9.34K","0.00%"
"06/01/2007","50.64","52.00","52.00","50.64","11.49K","-2.62%"
"05/01/2007","52.00","51.50","52.18","50.91","10.60K","0.97%"
"04/01/2007","51.50","50.82","51.73","50.36","15.74K","1.34%"
"03/01/2007","50.82","49.91","50.82","49.46","64.12K","1.82%"
